scenario_id,G,nk,p,cov_type,design,study,signal_d,eps
S01,2,"20,20",30,identity,balanced,robustness,,0.1
S02,2,"20,20",30,ar1,balanced,robustness,,0.1
S03,2,"20,20",50,identity,balanced,robustness,,0.1
S04,2,"20,20",50,ar1,balanced,robustness,,0.1
S05,2,"30,30",50,identity,balanced,robustness,,0.1
S06,2,"30,30",50,ar1,balanced,robustness,,0.1
S07,2,"30,30",100,identity,balanced,robustness,,0.1
S08,2,"30,30",100,ar1,balanced,robustness,,0.1
S09,2,"50,50",50,identity,balanced,robustness,,0.1
S10,2,"50,50",50,ar1,balanced,robustness,,0.1
S11,2,"50,50",100,identity,balanced,robustness,,0.1
S12,2,"50,50",100,ar1,balanced,robustness,,0.1
S13,3,"20,20,20",30,identity,balanced,robustness,,0.1
S14,3,"20,20,20",30,ar1,balanced,robustness,,0.1
S15,3,"20,20,20",50,identity,balanced,robustness,,0.1
S16,3,"20,20,20",50,ar1,balanced,robustness,,0.1
S17,3,"30,30,30",50,identity,balanced,robustness,,0.1
S18,3,"30,30,30",50,ar1,balanced,robustness,,0.1
S19,3,"30,30,30",100,identity,balanced,robustness,,0.1
S20,3,"30,30,30",100,ar1,balanced,robustness,,0.1
S21,3,"50,50,50",50,identity,balanced,robustness,,0.1
S22,3,"50,50,50",50,ar1,balanced,robustness,,0.1
S23,3,"50,50,50",100,identity,balanced,robustness,,0.1
S24,3,"50,50,50",100,ar1,balanced,robustness,,0.1
S25,2,"30,20",30,identity,unbalanced,robustness,,0.1
S26,2,"30,20",30,ar1,unbalanced,robustness,,0.1
S27,2,"30,20",50,identity,unbalanced,robustness,,0.1
S28,2,"30,20",50,ar1,unbalanced,robustness,,0.1
S29,2,"50,30",50,identity,unbalanced,robustness,,0.1
S30,2,"50,30",50,ar1,unbalanced,robustness,,0.1
S31,2,"50,30",100,identity,unbalanced,robustness,,0.1
S32,2,"50,30",100,ar1,unbalanced,robustness,,0.1
S33,3,"30,20,20",30,identity,unbalanced,robustness,,0.1
S34,3,"30,20,20",30,ar1,unbalanced,robustness,,0.1
S35,3,"30,20,20",50,identity,unbalanced,robustness,,0.1
S36,3,"30,20,20",50,ar1,unbalanced,robustness,,0.1
S37,3,"50,30,20",50,identity,unbalanced,robustness,,0.1
S38,3,"50,30,20",50,ar1,unbalanced,robustness,,0.1
S39,3,"50,30,20",100,identity,unbalanced,robustness,,0.1
S40,3,"50,30,20",100,ar1,unbalanced,robustness,,0.1
S01,2,"20,20",30,identity,balanced,robustness,,0.2
S02,2,"20,20",30,ar1,balanced,robustness,,0.2
S03,2,"20,20",50,identity,balanced,robustness,,0.2
S04,2,"20,20",50,ar1,balanced,robustness,,0.2
S05,2,"30,30",50,identity,balanced,robustness,,0.2
S06,2,"30,30",50,ar1,balanced,robustness,,0.2
S07,2,"30,30",100,identity,balanced,robustness,,0.2
S08,2,"30,30",100,ar1,balanced,robustness,,0.2
S09,2,"50,50",50,identity,balanced,robustness,,0.2
S10,2,"50,50",50,ar1,balanced,robustness,,0.2
S11,2,"50,50",100,identity,balanced,robustness,,0.2
S12,2,"50,50",100,ar1,balanced,robustness,,0.2
S13,3,"20,20,20",30,identity,balanced,robustness,,0.2
S14,3,"20,20,20",30,ar1,balanced,robustness,,0.2
S15,3,"20,20,20",50,identity,balanced,robustness,,0.2
S16,3,"20,20,20",50,ar1,balanced,robustness,,0.2
S17,3,"30,30,30",50,identity,balanced,robustness,,0.2
S18,3,"30,30,30",50,ar1,balanced,robustness,,0.2
S19,3,"30,30,30",100,identity,balanced,robustness,,0.2
S20,3,"30,30,30",100,ar1,balanced,robustness,,0.2
S21,3,"50,50,50",50,identity,balanced,robustness,,0.2
S22,3,"50,50,50",50,ar1,balanced,robustness,,0.2
S23,3,"50,50,50",100,identity,balanced,robustness,,0.2
S24,3,"50,50,50",100,ar1,balanced,robustness,,0.2
S25,2,"30,20",30,identity,unbalanced,robustness,,0.2
S26,2,"30,20",30,ar1,unbalanced,robustness,,0.2
S27,2,"30,20",50,identity,unbalanced,robustness,,0.2
S28,2,"30,20",50,ar1,unbalanced,robustness,,0.2
S29,2,"50,30",50,identity,unbalanced,robustness,,0.2
S30,2,"50,30",50,ar1,unbalanced,robustness,,0.2
S31,2,"50,30",100,identity,unbalanced,robustness,,0.2
S32,2,"50,30",100,ar1,unbalanced,robustness,,0.2
S33,3,"30,20,20",30,identity,unbalanced,robustness,,0.2
S34,3,"30,20,20",30,ar1,unbalanced,robustness,,0.2
S35,3,"30,20,20",50,identity,unbalanced,robustness,,0.2
S36,3,"30,20,20",50,ar1,unbalanced,robustness,,0.2
S37,3,"50,30,20",50,identity,unbalanced,robustness,,0.2
S38,3,"50,30,20",50,ar1,unbalanced,robustness,,0.2
S39,3,"50,30,20",100,identity,unbalanced,robustness,,0.2
S40,3,"50,30,20",100,ar1,unbalanced,robustness,,0.2
