scenario_id,G,nk,p,cov_type,design,signal_d,R,proposed_power,proposed_mcse,schott_power,schott_mcse,cheng_power,cheng_mcse,na_proposed,na_schott,na_cheng
S01,2,"20,20",30,identity,balanced,0.6,1000,0.986,0.00371537346709587,1,0,0.901,0.00944452222190196,0,0,0
S02,2,"20,20",30,ar1,balanced,0.6,1000,0.801,0.0126253316788115,0.999,0.000999499874937461,0.83,0.0118785521003193,0,0,0
S03,2,"20,20",50,identity,balanced,0.6,1000,1,0,1,0,0.935,0.0077958322198467,0,0,0
S04,2,"20,20",50,ar1,balanced,0.6,1000,0.962,0.00604615580348373,1,0,0.884,0.0101264011376204,0,0,0
S05,2,"30,30",50,identity,balanced,0.6,1000,1,0,1,0,0.998,0.00141279864099595,0,0,0
S06,2,"30,30",50,ar1,balanced,0.6,1000,0.999,0.000999499874937461,1,0,0.988,0.00344325427466518,0,0,0
S07,2,"30,30",100,identity,balanced,0.6,1000,1,0,1,0,0.999,0.000999499874937461,0,0,0
S08,2,"30,30",100,ar1,balanced,0.6,1000,1,0,1,0,0.999,0.000999499874937461,0,0,0
S09,2,"50,50",50,identity,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S10,2,"50,50",50,ar1,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S11,2,"50,50",100,identity,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S12,2,"50,50",100,ar1,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S13,3,"20,20,20",30,identity,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S14,3,"20,20,20",30,ar1,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S15,3,"20,20,20",50,identity,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S16,3,"20,20,20",50,ar1,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S17,3,"30,30,30",50,identity,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S18,3,"30,30,30",50,ar1,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S19,3,"30,30,30",100,identity,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S20,3,"30,30,30",100,ar1,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S21,3,"50,50,50",50,identity,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S22,3,"50,50,50",50,ar1,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S23,3,"50,50,50",100,identity,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S24,3,"50,50,50",100,ar1,balanced,0.6,1000,1,0,1,0,1,0,0,0,0
S25,2,"30,20",30,identity,unbalanced,0.6,1000,0.996,0.00199599599197994,1,0,0.959,0.00627048642451286,0,0,0
S26,2,"30,20",30,ar1,unbalanced,0.6,1000,0.895,0.00969407035254026,1,0,0.922,0.00848033018225116,0,0,0
S27,2,"30,20",50,identity,unbalanced,0.6,1000,1,0,1,0,0.986,0.00371537346709587,0,0,0
S28,2,"30,20",50,ar1,unbalanced,0.6,1000,0.977,0.00474035863622153,1,0,0.943,0.00733150734842434,0,0,0
S29,2,"50,30",50,identity,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S30,2,"50,30",50,ar1,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S31,2,"50,30",100,identity,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S32,2,"50,30",100,ar1,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S33,3,"30,20,20",30,identity,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S34,3,"30,20,20",30,ar1,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S35,3,"30,20,20",50,identity,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S36,3,"30,20,20",50,ar1,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S37,3,"50,30,20",50,identity,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S38,3,"50,30,20",50,ar1,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S39,3,"50,30,20",100,identity,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
S40,3,"50,30,20",100,ar1,unbalanced,0.6,1000,1,0,1,0,1,0,0,0,0
