"method","eps","eta","p","cov_type","reject","n_reps_total","mcse"
"Cheng-GM",0.2,0.6,30,"ar1",0.20475,4000,0.00638019273807618
"Proposed",0.2,0.6,30,"ar1",0.1105,4000,0.00495705936014488
"Schott",0.2,0.6,30,"ar1",1,4000,0
"Cheng-GM",0.1,0.8,30,"ar1",0.06125,4000,0.00379138620757633
"Proposed",0.1,0.8,30,"ar1",0.04725,4000,0.00335475176056292
"Schott",0.1,0.8,30,"ar1",0.6215,4000,0.00766873115319607
"Cheng-GM",0.2,0.6,50,"ar1",0.5017,10000,0.00499997109991648
"Proposed",0.2,0.6,50,"ar1",0.2329,10000,0.00422679062646827
"Schott",0.2,0.6,50,"ar1",1,10000,0
"Cheng-GM",0.1,0.8,50,"ar1",0.1093,10000,0.00312015240012407
"Proposed",0.1,0.8,50,"ar1",0.0605,10000,0.00238410884818626
"Schott",0.1,0.8,50,"ar1",0.8519,10000,0.00355199085021344
"Cheng-GM",0.2,0.6,100,"ar1",0.732333333333333,6000,0.00571578548440227
"Proposed",0.2,0.6,100,"ar1",0.245333333333333,6000,0.00555495107822576
"Schott",0.2,0.6,100,"ar1",1,6000,0
"Cheng-GM",0.1,0.8,100,"ar1",0.136333333333333,6000,0.00442994649244502
"Proposed",0.1,0.8,100,"ar1",0.0455,6000,0.0026904073421448
"Schott",0.1,0.8,100,"ar1",0.981666666666667,6000,0.00173191715651674
"Cheng-GM",0.2,0.6,30,"identity",0.19025,4000,0.00620594347178574
"Proposed",0.2,0.6,30,"identity",0.056,4000,0.00363538168560056
"Schott",0.2,0.6,30,"identity",1,4000,0
"Cheng-GM",0.1,0.8,30,"identity",0.05875,4000,0.00371814595934587
"Proposed",0.1,0.8,30,"identity",0.0435,4000,0.00322520348195273
"Schott",0.1,0.8,30,"identity",0.77975,4000,0.00655247925406865
"Cheng-GM",0.2,0.6,50,"identity",0.5225,10000,0.00499493493451116
"Proposed",0.2,0.6,50,"identity",0.059,10000,0.00235624701591323
"Schott",0.2,0.6,50,"identity",1,10000,0
"Cheng-GM",0.1,0.8,50,"identity",0.1107,10000,0.00313760274732159
"Proposed",0.1,0.8,50,"identity",0.0447,10000,0.0020664440471496
"Schott",0.1,0.8,50,"identity",0.9286,10000,0.00257491825112954
"Cheng-GM",0.2,0.6,100,"identity",0.7675,6000,0.00545349658476101
"Proposed",0.2,0.6,100,"identity",0.0743333333333333,6000,0.00338644082799057
"Schott",0.2,0.6,100,"identity",1,6000,0
"Cheng-GM",0.1,0.8,100,"identity",0.144666666666667,6000,0.00454125941089441
"Proposed",0.1,0.8,100,"identity",0.0418333333333333,6000,0.00258467617428681
"Schott",0.1,0.8,100,"identity",0.999,6000,0.000408044115262063
