scenario_id,G,nk,p,cov_type,study,R_effective_proposed,R_effective_schott,R_effective_cheng,proposed_size,schott_size,cheng_size,proposed_mcse,schott_mcse,cheng_mcse,proposed_absdev,schott_absdev,cheng_absdev
S01,2,"20,20",30,identity,type1,1000,1000,1000,0.042,0.063,0.04,0.0063,0.0077,0.0062,0.008,0.013,0.01
S02,2,"20,20",30,ar1,type1,1000,1000,1000,0.055,0.068,0.044,0.0072,0.008,0.0065,0.005,0.018,0.006
S03,2,"20,20",50,identity,type1,1000,1000,1000,0.031,0.053,0.034,0.0055,0.0071,0.0057,0.019,0.003,0.016
S04,2,"20,20",50,ar1,type1,1000,1000,1000,0.028,0.062,0.037,0.0052,0.0076,0.006,0.022,0.012,0.013
S05,2,"30,30",50,identity,type1,1000,1000,1000,0.04,0.059,0.031,0.0062,0.0075,0.0055,0.01,0.009,0.019
S06,2,"30,30",50,ar1,type1,1000,1000,1000,0.044,0.067,0.055,0.0065,0.0079,0.0072,0.006,0.017,0.005
S07,2,"30,30",100,identity,type1,1000,1000,1000,0.047,0.057,0.035,0.0067,0.0073,0.0058,0.003,0.007,0.015
S08,2,"30,30",100,ar1,type1,1000,1000,1000,0.042,0.07,0.043,0.0063,0.0081,0.0064,0.008,0.02,0.007
S09,2,"50,50",50,identity,type1,1000,1000,1000,0.036,0.057,0.05,0.0059,0.0073,0.0069,0.014,0.007,0
S10,2,"50,50",50,ar1,type1,1000,1000,1000,0.039,0.059,0.043,0.0061,0.0075,0.0064,0.011,0.009,0.007
S11,2,"50,50",100,identity,type1,1000,1000,1000,0.047,0.056,0.036,0.0067,0.0073,0.0059,0.003,0.006,0.014
S12,2,"50,50",100,ar1,type1,1000,1000,1000,0.061,0.068,0.051,0.0076,0.008,0.007,0.011,0.018,0.001
S13,3,"20,20,20",30,identity,type1,1000,1000,1000,0.046,0.064,0.048,0.0066,0.0077,0.0068,0.004,0.014,0.002
S14,3,"20,20,20",30,ar1,type1,1000,1000,1000,0.047,0.066,0.039,0.0067,0.0079,0.0061,0.003,0.016,0.011
S15,3,"20,20,20",50,identity,type1,1000,1000,1000,0.041,0.045,0.047,0.0063,0.0066,0.0067,0.009,0.005,0.003
S16,3,"20,20,20",50,ar1,type1,1000,1000,1000,0.046,0.062,0.046,0.0066,0.0076,0.0066,0.004,0.012,0.004
S17,3,"30,30,30",50,identity,type1,1000,1000,1000,0.048,0.066,0.037,0.0068,0.0079,0.006,0.002,0.016,0.013
S18,3,"30,30,30",50,ar1,type1,1000,1000,1000,0.042,0.049,0.041,0.0063,0.0068,0.0063,0.008,0.001,0.009
S19,3,"30,30,30",100,identity,type1,1000,1000,1000,0.037,0.059,0.04,0.006,0.0075,0.0062,0.013,0.009,0.01
S20,3,"30,30,30",100,ar1,type1,1000,1000,1000,0.042,0.056,0.044,0.0063,0.0073,0.0065,0.008,0.006,0.006
S21,3,"50,50,50",50,identity,type1,1000,1000,1000,0.044,0.056,0.046,0.0065,0.0073,0.0066,0.006,0.006,0.004
S22,3,"50,50,50",50,ar1,type1,1000,1000,1000,0.038,0.057,0.046,0.006,0.0073,0.0066,0.012,0.007,0.004
S23,3,"50,50,50",100,identity,type1,1000,1000,1000,0.046,0.055,0.035,0.0066,0.0072,0.0058,0.004,0.005,0.015
S24,3,"50,50,50",100,ar1,type1,1000,1000,1000,0.051,0.062,0.041,0.007,0.0076,0.0063,0.001,0.012,0.009
S25,2,"30,20",30,identity,type1,1000,1000,1000,0.041,0.066,0.056,0.0063,0.0079,0.0073,0.009,0.016,0.006
S26,2,"30,20",30,ar1,type1,1000,1000,1000,0.045,0.081,0.043,0.0066,0.0086,0.0064,0.005,0.031,0.007
S27,2,"30,20",50,identity,type1,1000,1000,1000,0.044,0.051,0.045,0.0065,0.007,0.0066,0.006,0.001,0.005
S28,2,"30,20",50,ar1,type1,1000,1000,1000,0.033,0.059,0.037,0.0056,0.0075,0.006,0.017,0.009,0.013
S29,2,"50,30",50,identity,type1,1000,1000,1000,0.038,0.049,0.043,0.006,0.0068,0.0064,0.012,0.001,0.007
S30,2,"50,30",50,ar1,type1,1000,1000,1000,0.052,0.072,0.042,0.007,0.0082,0.0063,0.002,0.022,0.008
S31,2,"50,30",100,identity,type1,1000,1000,1000,0.037,0.054,0.053,0.006,0.0071,0.0071,0.013,0.004,0.003
S32,2,"50,30",100,ar1,type1,1000,1000,1000,0.052,0.071,0.044,0.007,0.0081,0.0065,0.002,0.021,0.006
S33,3,"30,20,20",30,identity,type1,1000,1000,1000,0.051,0.055,0.041,0.007,0.0072,0.0063,0.001,0.005,0.009
S34,3,"30,20,20",30,ar1,type1,1000,1000,1000,0.043,0.066,0.059,0.0064,0.0079,0.0075,0.007,0.016,0.009
S35,3,"30,20,20",50,identity,type1,1000,1000,1000,0.043,0.058,0.046,0.0064,0.0074,0.0066,0.007,0.008,0.004
S36,3,"30,20,20",50,ar1,type1,1000,1000,1000,0.039,0.051,0.033,0.0061,0.007,0.0056,0.011,0.001,0.017
S37,3,"50,30,20",50,identity,type1,1000,1000,1000,0.057,0.075,0.048,0.0073,0.0083,0.0068,0.007,0.025,0.002
S38,3,"50,30,20",50,ar1,type1,1000,1000,1000,0.053,0.068,0.05,0.0071,0.008,0.0069,0.003,0.018,0
S39,3,"50,30,20",100,identity,type1,1000,1000,1000,0.038,0.058,0.04,0.006,0.0074,0.0062,0.012,0.008,0.01
S40,3,"50,30,20",100,ar1,type1,1000,1000,1000,0.04,0.057,0.051,0.0062,0.0073,0.007,0.01,0.007,0.001
