scenario_id,n_blocks,n_reps,min_rep,max_rep,expected_blocks,expected_reps,block_complete,rep_complete
S01,10,1000,1,1000,10,1000,TRUE,TRUE
S02,10,1000,1,1000,10,1000,TRUE,TRUE
S03,10,1000,1,1000,10,1000,TRUE,TRUE
S04,10,1000,1,1000,10,1000,TRUE,TRUE
S05,10,1000,1,1000,10,1000,TRUE,TRUE
S06,10,1000,1,1000,10,1000,TRUE,TRUE
S07,10,1000,1,1000,10,1000,TRUE,TRUE
S08,10,1000,1,1000,10,1000,TRUE,TRUE
S09,10,1000,1,1000,10,1000,TRUE,TRUE
S10,10,1000,1,1000,10,1000,TRUE,TRUE
S11,10,1000,1,1000,10,1000,TRUE,TRUE
S12,10,1000,1,1000,10,1000,TRUE,TRUE
S13,10,1000,1,1000,10,1000,TRUE,TRUE
S14,10,1000,1,1000,10,1000,TRUE,TRUE
S15,10,1000,1,1000,10,1000,TRUE,TRUE
S16,10,1000,1,1000,10,1000,TRUE,TRUE
S17,10,1000,1,1000,10,1000,TRUE,TRUE
S18,10,1000,1,1000,10,1000,TRUE,TRUE
S19,10,1000,1,1000,10,1000,TRUE,TRUE
S20,10,1000,1,1000,10,1000,TRUE,TRUE
S21,10,1000,1,1000,10,1000,TRUE,TRUE
S22,10,1000,1,1000,10,1000,TRUE,TRUE
S23,10,1000,1,1000,10,1000,TRUE,TRUE
S24,10,1000,1,1000,10,1000,TRUE,TRUE
S25,10,1000,1,1000,10,1000,TRUE,TRUE
S26,10,1000,1,1000,10,1000,TRUE,TRUE
S27,10,1000,1,1000,10,1000,TRUE,TRUE
S28,10,1000,1,1000,10,1000,TRUE,TRUE
S29,10,1000,1,1000,10,1000,TRUE,TRUE
S30,10,1000,1,1000,10,1000,TRUE,TRUE
S31,10,1000,1,1000,10,1000,TRUE,TRUE
S32,10,1000,1,1000,10,1000,TRUE,TRUE
S33,10,1000,1,1000,10,1000,TRUE,TRUE
S34,10,1000,1,1000,10,1000,TRUE,TRUE
S35,10,1000,1,1000,10,1000,TRUE,TRUE
S36,10,1000,1,1000,10,1000,TRUE,TRUE
S37,10,1000,1,1000,10,1000,TRUE,TRUE
S38,10,1000,1,1000,10,1000,TRUE,TRUE
S39,10,1000,1,1000,10,1000,TRUE,TRUE
S40,10,1000,1,1000,10,1000,TRUE,TRUE
